date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-04-13,Twerk,city girls,46,76,19,83,,,,,"[u'pop', u'pop rap', u'trap queen']",[u'trap queen']
2019-04-13,Lovely,billie eilish,95,95,2,85,,,,,"[u'electropop', u'pop']",[u'pop']
2019-04-13,I Can't Get Enough,"benny blanco, tainy, selena gomez",79,-,7,91,,,,,,unknown
2019-04-13,Millionaire,chris stapleton,NA,,NA,95,,,,,"[u'contemporary country', u'outlaw country']",[u'outlaw country']
2019-04-13,Girl Like You,jason aldean,NA,,NA,98,,,,,"[u'contemporary country', u'country', u'country road']",[u'country road']
2019-04-20,My Bad,khalid,57,81,10,55,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-04-20,Outta My Head,khalid,55,60,8,58,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-04-20,Monopoly,ariana grande,62,72,11,69,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-04-20,Don't Pretend,khalid,89,100,3,84,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-04-20,Bad Luck,khalid,46,46,2,87,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-04-20,All The Good Girls Go To Hell,billie eilish,91,-,8,92,,,,,"[u'electropop', u'pop']",[u'pop']
2019-04-20,Right Back,khalid,35,90,4,93,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-04-20,Inmortal,aventura,NA,,NA,95,,,,,"[u'bachata', u'latin', u'latin hip hop', u'latin pop', u'tropical']",[u'tropical']
2019-04-20,Dedication,nipsey hussle,NA,,NA,97,,,,,"[u'conscious hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-20,Victory Lap,nipsey hussle,NA,,NA,100,,,,,"[u'conscious hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-27,MIA,bad bunny,7,43,46,45,,,,,"[u'latin', u'reggaeton', u'trap latino']",[u'trap latino']
2019-04-27,Tequila,dan + shay,51,63,3,49,,,,,"[u'contemporary country', u'pop']",[u'pop']
2019-04-27,Money,cardi b,52,54,10,50,,,,,"[u'pop', u'pop rap', u'rap']",[u'rap']
2019-04-27,Blue On Black,five finger death punch,70,79,9,66,,,,,"[u'alternative metal', u'groove metal', u'nu metal', u'post-grunge']",[u'post-grunge']
2019-04-27,Double Up,nipsey hussle,43,71,3,82,,,,,"[u'conscious hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-27,Undrunk,fletcher,87,91,8,83,,,,,"[u'dance pop', u'electropop', u'indie poptimism', u'pop', u'pop rap', u'post-teen pop', u'uk pop']",[u'uk pop']
2019-04-27,Last Time That I Checc'd,nipsey hussle,91,-,8,92,,,,,"[u'conscious hip hop', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-27,Make It Right,bts,NA,,NA,95,,,,,"[u'k-pop', u'k-pop boy group']",[u'k-pop boy group']
2019-04-27,There Was This Girl,riley green,NA,,NA,98,,,,,"[u'contemporary country', u'country road']",[u'country road']
2019-05-04,Better Now,post malone,43,46,4,42,,,,,"[u'dfw rap', u'melodic rap', u'rap']",[u'rap']
2019-05-04,Bad Liar,imagine dragons,68,68,2,85,,,,,[u'modern rock'],[u'modern rock']
